imdb_id,title,type,origin,rating,runtime_mins,year,genres,votes
tt11465278,"He-Man and the Masters of the Universe","TV Series",Netflix,5.9,26,2021,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",2373
tt11474156,"Pete Davidson: Alive from New York","TV Special",Netflix,6.2,49,2020,Comedy,4841
tt11475228,"Killer Inside: The Mind of Aaron Hernandez","TV Mini Series",Netflix,7.3,60,2020,"Documentary, Crime, Sport",20208
tt11479520,"Ex-Addicts Club","TV Mini Series",Netflix,6.8,22,2023,"Comedy, Drama",48
tt11481312,Citation,Movie,Netflix,6.2,151,2020,"Drama, Thriller",1086
tt11488724,"Fortune Feimster: Sweet & Salty","TV Special",Netflix,6.9,61,2020,Comedy,1385
tt11497900,"Alex FernÃƒÂ¡ndez: The Best Comedian in the World","TV Special",Netflix,6.4,51,2020,Comedy,162
tt11497904,"Pandemic: How to Prevent an Outbreak","TV Mini Series",Netflix,6.4,50,2020,Documentary,2896
tt11497922,"Night on Earth","TV Mini Series",Netflix,8.1,50,2020,Documentary,5179
tt11499506,"The Beast",Movie,Netflix,5.2,97,2020,"Action, Crime, Drama, Thriller",5032
tt11514780,"Choose or Die",Movie,Netflix,4.8,84,2022,"Drama, Horror, Thriller",27998
tt11514868,"The Perfect Couple","TV Series",Netflix,6.5,60,2024,"Crime, Drama, Mystery",68365
tt11541872,"Big Bug",Movie,Netflix,5.5,111,2022,"Comedy, Sci-Fi",11119
tt11542920,Omniscient,"TV Series",Netflix,6.5,NULL,2020,"Drama, Sci-Fi, Thriller",2698
tt11542960,"Ainori Love Wagon: African Journey","TV Series",Netflix,7.4,NULL,2019,Reality-TV,151
tt11547014,"Turner & Hooch","TV Series",Disney,6.6,NULL,2021,"Comedy, Crime, Drama, Family",4314
tt11558924,Hillary,"TV Mini Series",Hulu,7,63,2020,"Documentary, Biography",2722
tt11561206,"The Goop Lab","TV Series",Netflix,2.7,30,2020,"Documentary, Reality-TV",3522
tt11561866,"Masameer: The Movie",Movie,Netflix,5.9,110,2020,"Animation, Comedy",2708
tt11564258,"The Playlist","TV Mini Series",Netflix,7.4,50,2022,"Biography, Drama, Music",16628
tt11564570,"Glass Onion",Movie,Netflix,7.1,139,2022,"Comedy, Crime, Drama, Mystery, Thriller",484875
tt11569530,"Just Add Magic: Mystery City","TV Series",Amazon,7.1,27,2020,"Adventure, Comedy, Drama, Family, Fantasy, Mystery",806
tt11570202,"The Silent Sea","TV Series",Netflix,6.9,45,2021,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",27694
tt11570224,"Abla Fahita: Drama Queen","TV Series",Netflix,6.5,25,2021,"Comedy, Crime, Drama, Musical",506
tt11594766,"The Secret Diary of an Exchange Student",Movie,Netflix,5.4,96,2021,"Comedy, Romance",1171
tt11600174,"The Pharmacist","TV Mini Series",Netflix,7.7,60,2020,"Documentary, Crime",9181
tt11604750,"Captain Underpants: Epic Choice-o-Rama",Short,Netflix,5.8,37,2020,"Animation, Short, Action, Adventure, Comedy, Family, Sci-Fi",211
tt11611314,"Vir Das: For India","TV Special",Netflix,7.7,75,2020,Comedy,1593
tt11611698,"Trial by Fire","TV Mini Series",Netflix,7.7,45,2023,"Crime, Drama, History, Thriller",4555
tt11612120,"Sweet Home","TV Series",Netflix,7.2,52,2020,"Drama, Fantasy, Horror, Thriller",39669
tt11617848,50MÃ‚Â²,"TV Series",Netflix,6.8,45,2021,"Comedy, Drama, Thriller",6656
tt11639414,"The Midnight Gospel","TV Series",Netflix,8.2,23,2020,"Animation, Adventure, Comedy, Fantasy, Sci-Fi",28371
tt11644096,"What Did Jack Do?",Short,Netflix,6.4,17,2017,"Short, Comedy, Crime, Drama, Mystery, Thriller",16326
tt11650492,Girls5eva,"TV Series",Netflix,7.3,30,2021,"Comedy, Music",8111
tt11651780,Choked,Movie,Netflix,5.7,114,2020,Drama,5939
tt11651796,"AK vs AK",Movie,Netflix,6.9,108,2020,"Comedy, Crime, Drama, Thriller",15644
tt11657662,"The Witcher: Nightmare of the Wolf",Movie,Netflix,7.2,83,2021,"Animation, Action, Adventure, Drama, Fantasy, Mystery",53997
tt11658120,Xtreme,Movie,Netflix,5.8,111,2021,"Action, Crime, Drama, Thriller",5486
tt11666848,"The Cabin with Bert Kreischer","TV Series",Netflix,6.8,NULL,2020,"Comedy, Reality-TV",2157
tt11668994,"Tersanjung: The Movie",Movie,Netflix,5.9,114,2021,"Drama, Romance",263
tt11671006,"The Man from Toronto",Movie,Netflix,5.8,110,2022,"Action, Adventure, Comedy, Thriller",64706
tt11681250,Godmothered,Movie,Disney,6.1,110,2020,"Comedy, Drama, Family, Fantasy",14660
tt11698590,Jaguar,"TV Series",Netflix,5.8,50,2021,"Action, Drama, History",2376
tt11698630,"Crazy About Her",Movie,Netflix,6.6,102,2021,"Comedy, Romance",6807
tt11698662,"Sounds Like Love",Movie,Netflix,5.4,110,2021,"Comedy, Music, Romance",2951
tt11698668,"Sing On! Spain","TV Series",Netflix,6.2,NULL,2020,"Game-Show, Music",155
tt11703050,"The House",Movie,Netflix,6.8,97,2022,"Animation, Comedy, Drama, Fantasy, Horror, Mystery, Thriller",24749
tt11704040,"Love Is Blind","TV Series",Netflix,6.2,60,2020,"Reality-TV, Romance",12827
tt11714334,Limitless,"TV Series",Disney,8,50,2022,"Documentary, Adventure",5138
tt11717394,"Country Comfort","TV Series",Netflix,6.8,25,2021,"Comedy, Drama, Family, Music",4545
tt11725706,"Taj Mahal 1989","TV Series",Netflix,7.4,NULL,2020,"Comedy, Drama, Romance",1773
tt11733790,"John Was Trying to Contact Aliens",Short,Netflix,6.4,16,2020,"Documentary, Short, Biography, Romance, Sci-Fi",1828
tt11734264,Sentinelle,Movie,Netflix,4.8,80,2021,"Action, Drama, Thriller",9068
tt11737520,"One Piece","TV Series",Netflix,8.3,60,2023,"Action, Adventure, Comedy, Drama, Fantasy",179093
tt11738790,"Mighty Little Bheem: Festival of Colors","TV Series",Netflix,7.5,NULL,2020,Animation,47
tt11738792,"Taylor Tomlinson: Quarter-Life Crisis","TV Special",Netflix,7.4,61,2020,Comedy,5669
tt11742798,"Afterlife of the Party",Movie,Netflix,5.8,109,2021,"Comedy, Drama, Fantasy, Romance",11399
tt11744632,Babies,"TV Series",Netflix,6.9,NULL,2020,Documentary,930
tt11754464,Whipped,Movie,Netflix,4.1,97,2020,"Comedy, Drama, Romance",700
tt11755740,"Texas Chainsaw Massacre",Movie,Netflix,4.7,81,2022,"Crime, Horror, Thriller",67419
tt11763742,"Road to Roma",Movie,Netflix,7.7,72,2020,Documentary,780
tt11767524,"Carmen Sandiego: To Steal or Not to Steal",Short,Netflix,6.9,31,2020,"Animation, Short, Action, Adventure, Family",946
tt11768948,"If Anything Happens I Love You",Short,Netflix,7.8,13,2020,"Animation, Short, Drama",23229
tt11777040,"Time to Hunt",Movie,Netflix,6.3,134,2020,"Action, Crime, Drama, Sci-Fi, Thriller",7496
tt11792734,"Leyla Everlasting",Movie,Netflix,3.7,112,2020,Comedy,8213
tt11810418,"Marc Maron: End Times Fun","TV Special",Netflix,6.8,71,2020,Comedy,2235
tt11810424,"Bert Kreischer: Hey Big Boy","TV Special",Netflix,7,62,2020,Comedy,2454
tt11816814,Painkiller,"TV Mini Series",Netflix,7.4,48,2023,"Crime, Drama",33842
tt11821818,"Double Dad",Movie,Netflix,5.7,103,2021,"Comedy, Drama, Family",1623
tt11822998,"The Trials of Gabriel Fernandez","TV Mini Series",Netflix,8.1,60,2020,"Documentary, Crime",14989
tt11823028,"Fary: Hexagone","TV Series",Netflix,6.4,NULL,2020,Comedy,168
tt11823076,"Tiger King","TV Series",Netflix,7.5,45,2020,"Documentary, Biography, Crime",89878
tt11823088,"100 Humans: Life's Questions. Answered.","TV Series",Netflix,5.8,NULL,2020,Reality-TV,4762
tt11829316,Vampires,"TV Series",Netflix,5.8,NULL,2020,"Drama, Fantasy, Horror",1591
tt11829340,Buddi,"TV Series",Netflix,6.9,12,2020,"Animation, Short, Adventure, Comedy, Family, Fantasy",75
tt11834150,"The Chair","TV Mini Series",Netflix,7.2,30,2021,"Comedy, Drama",19569
tt11841144,"The Heartbreak Club",Movie,Netflix,6.3,101,2021,"Comedy, Drama, Romance",236
tt11852810,"The Quest","TV Series",Disney,3.9,NULL,2022,"Adventure, Fantasy, Reality-TV",607
tt11853160,"Meet the Chimps","TV Series",Disney,7.7,40,2020,Documentary,151
tt11859542,"In from the Cold","TV Series",Netflix,6.3,42,2022,"Action, Crime, Drama, Mystery, Sci-Fi, Thriller",10386
tt11860336,"Mighty Express","TV Series",Netflix,3.8,NULL,2020,"Animation, Adventure, Comedy, Family",171
tt11860624,"Michael McIntyre: Showman","TV Special",Netflix,7.2,62,2020,Comedy,1621
tt11861072,"Tom Segura: Ball Hog","TV Special",Netflix,7.3,70,2020,Comedy,4020
tt11871764,"The Proud Family: Louder and Prouder","TV Series",Disney,3.2,30,2022,"Animation, Adventure, Comedy, Family",5479
tt11875316,"The Mysterious Benedict Society","TV Series",Disney,7.6,50,2021,"Action, Adventure, Comedy, Drama, Family, Mystery",6066
tt11875456,"Dragons: Rescue Riders: Hunt for the Golden Dragon","TV Special",Netflix,5.2,46,2020,"Animation, Action, Adventure, Comedy, Family, Fantasy, Mystery",218
tt11875458,"True: Wuzzle Wegg Day","TV Special",Netflix,6.6,23,2020,Animation,20
