imdb_id,status
tt22459586,Concluded
tt27787856,Concluded
tt28466970,Concluded
tt29824198,Concluded
tt27055592,Concluded
tt29416049,Cancelled
tt29475857,Concluded
tt29686471,Concluded
tt28628302,Cancelled
tt28104766,Concluded
tt29603735,Concluded
tt8323628,Concluded
tt28948476,Concluded
tt28129282,Concluded
tt13664452,Concluded
tt22352854,Concluded
tt29420686,Concluded
tt30265378,Concluded
tt27787859,Concluded
tt30249004,Concluded
tt16288804,Concluded
tt22696780,Concluded
tt28225048,Concluded
tt17632862,Concluded
tt27052533,Concluded
tt30495228,Concluded
tt22297290,Concluded
tt19723558,Concluded
tt30476509,Concluded
tt26760483,Concluded
tt26218826,Concluded
tt28712944,Concluded
tt27494999,Concluded
tt30342862,Concluded
tt23735438,Concluded
tt30626175,Concluded
tt31035004,Concluded
tt21993130,Concluded
tt31183676,Concluded
tt9018736,Concluded
tt29338463,Concluded
tt22012992,Concluded
tt28642796,Cancelled
tt30791203,Cancelled
tt27760092,Concluded
tt30842486,Cancelled
tt31049778,Cancelled
tt31030101,Concluded
tt30342862,Concluded
tt23735438,Concluded
tt30626175,Concluded
tt28020043,Concluded
tt31080404,Cancelled
tt28642797,Cancelled
tt13016388,Cancelled
tt13210838,Concluded
tt29338462,Cancelled
tt20917538,Cancelled
tt11384300,Cancelled
tt31183656,Concluded
tt22325774,Cancelled
tt11262142,Cancelled
tt31158584,Concluded
tt26227818,Concluded
tt30003786,Concluded
tt11650492,Concluded
tt15379396,Concluded
tt27415863,Concluded
tt17492848,Cancelled
tt15358446,Concluded
tt13090810,Concluded
tt14872196,Concluded
tt27054614,Concluded
tt15441086,Concluded
tt21874396,Concluded
tt29382583,Concluded
tt31638758,Concluded
tt31608961,Concluded
tt31722999,Concluded
tt31852722,Concluded
tt31844701,Concluded
tt30423279,Concluded
tt31691316,Concluded
tt21072112,Concluded
tt31491435,Concluded
tt32369358,Concluded
tt26426076,Concluded
tt29402539,Concluded
tt32178759,Concluded
tt29899148,Concluded
tt15204292,Concluded
tt22188654,Concluded
tt28267514,Concluded
tt25166726,Concluded
tt31038436,Concluded
tt32126717,Concluded
tt31806036,Concluded
tt27763561,Cancelled
tt31691317,Cancelled
tt16283758,Concluded
tt30400535,Cancelled
tt21962590,Cancelled
tt27843828,Cancelled
tt31158582,Cancelled
tt32146518,Cancelled
tt31806050,Cancelled
tt31173685,Concluded
tt32460481,Cancelled
tt21831910,Cancelled
tt19734104,Cancelled
tt13353456,Cancelled
tt32832648,Cancelled
tt31250132,Concluded
tt32608335,Concluded
tt26757529,Concluded
tt32551794,Concluded
tt32764092,Cancelled
tt26767508,Concluded
tt8550732,Concluded
tt14153236,Concluded
tt32740307,Cancelled
tt31158593,Concluded
tt30068042,Concluded
tt28298539,Concluded
tt31158586,Concluded
tt28810495,Concluded
tt33038128,Concluded
tt32932523,Concluded
tt31408298,Concluded
tt31174036,Concluded
tt26675358,Concluded
tt32897271,Concluded
tt33038099,Concluded
tt1745240,Concluded
tt26259966,Concluded
tt11514868,Concluded
tt33246792,Concluded
tt33301469,Concluded
tt26933824,Concluded
tt10625492,Concluded
tt21187072,Concluded
tt29494111,Concluded
tt33295797,Concluded
tt29306091,Concluded
tt33344252,Concluded
tt33184626,Concluded
tt33040785,Concluded
tt31158589,Concluded
tt31260386,Concluded
tt28703559,Concluded
tt13930822,Concluded
tt30277745,Cancelled
tt29338465,Concluded
tt30217222,Concluded
tt32245002,Concluded
tt30068040,Cancelled
tt33294894,Cancelled
tt33480540,Cancelled
tt31828643,Cancelled
tt31408266,Cancelled
tt33040876,Cancelled
tt26670955,Cancelled
tt32581509,Cancelled
tt33130884,Cancelled
tt28288478,Concluded
tt15114854,Concluded
tt29103836,Concluded
tt31158594,Concluded
tt32245065,Cancelled
tt31226362,Cancelled
tt23480510,Concluded
tt33840297,Cancelled
tt34377076,Cancelled
tt34169767,Concluded
tt29494110,Concluded
tt31974344,Cancelled
tt34724701,Cancelled
tt34599590,Cancelled
tt34247552,Concluded
tt27995113,Concluded
tt19891306,Cancelled
tt27368999,Concluded
tt31106358,Cancelled
tt9892936,Cancelled
tt34729811,Concluded
tt33350486,Concluded
tt34682889,Concluded
tt33040766,Concluded
tt31078755,Concluded
tt35064818,Concluded
tt30096238,Concluded
tt34570673,Concluded
tt28106730,Concluded
tt35256070,Cancelled
tt34692003,Cancelled
tt29632046,Cancelled
tt27719131,Concluded
tt32501221,Cancelled
tt35052467,Cancelled
tt34991330,Concluded
tt29135600,Concluded
tt14879018,Concluded
tt35474026,Concluded
tt15340954,Concluded
tt29242849,Concluded
tt35450649,Concluded
tt34896296,Concluded
tt23664162,Cancelled
