"imdb_id","origin","year","genre","rating","votes","status"
"tt8778064","Netflix","2019","Thriller","7.1","40787","Cancelled"
"tt9134194","Netflix","2019","Comedy","7","14344","Cancelled"
"tt9134194","Netflix","2019","Crime","7","14344","Cancelled"
"tt9134194","Netflix","2019","Drama","7","14344","Cancelled"
"tt9134194","Netflix","2019","Mystery","7","14344","Cancelled"
"tt8652642","Netflix","2019","Action","6.4","15223","Cancelled"
"tt8652642","Netflix","2019","Crime","6.4","15223","Cancelled"
"tt8652642","Netflix","2019","Drama","6.4","15223","Cancelled"
"tt8652642","Netflix","2019","Fantasy","6.4","15223","Cancelled"
"tt6905542","Netflix","2019","Adventure","8.4","28569","Cancelled"
"tt6905542","Netflix","2019","Family","8.4","28569","Cancelled"
"tt6905542","Netflix","2019","Fantasy","8.4","28569","Cancelled"
"tt9348692","Netflix","2019","Crime","7.7","22711","Cancelled"
"tt9348692","Netflix","2019","Drama","7.7","22711","Cancelled"
"tt9348692","Netflix","2019","Mystery","7.7","22711","Cancelled"
"tt9348692","Netflix","2019","Thriller","7.7","22711","Cancelled"
"tt8509922","Netflix","2019","Comedy","7.6","2540","Cancelled"
"tt8509922","Netflix","2019","Drama","7.6","2540","Cancelled"
"tt8509922","Netflix","2019","Music","7.6","2540","Cancelled"
"tt8509922","Netflix","2019","Musical","7.6","2540","Cancelled"
"tt7403736","Netflix","2019","Drama","6","15868","Cancelled"
"tt7403736","Netflix","2019","Horror","6","15868","Cancelled"
"tt7403736","Netflix","2019","Sci-Fi","6","15868","Cancelled"
"tt7913450","Netflix","2019","Drama","6.8","2273","Cancelled"
"tt7913450","Netflix","2019","Musical","6.8","2273","Cancelled"
"tt7671598","Netflix","2020","Drama","7.6","48785","Cancelled"
"tt7671598","Netflix","2020","Mystery","7.6","48785","Cancelled"
"tt7671598","Netflix","2020","Thriller","7.6","48785","Cancelled"
"tt9117054","Netflix","2020","Drama","7.5","18590","Cancelled"
"tt9117054","Netflix","2020","Sport","7.5","18590","Cancelled"
"tt8826128","Netflix","2020","Adventure","6.2","13111","Cancelled"
"tt8826128","Netflix","2020","Drama","6.2","13111","Cancelled"
"tt8826128","Netflix","2020","Fantasy","6.2","13111","Cancelled"
"tt8826128","Netflix","2020","Horror","6.2","13111","Cancelled"
"tt8826128","Netflix","2020","Mystery","6.2","13111","Cancelled"
"tt8826128","Netflix","2020","Sci-Fi","6.2","13111","Cancelled"
"tt9426290","Netflix","2020","Action","6.2","1416","Concluded"
"tt9426290","Netflix","2020","Crime","6.2","1416","Concluded"
"tt9426290","Netflix","2020","Drama","6.2","1416","Concluded"
"tt9426290","Netflix","2020","Thriller","6.2","1416","Concluded"
"tt8741648","Netflix","2020","Action","6","8797","Cancelled"
"tt8741648","Netflix","2020","Adventure","6","8797","Cancelled"
"tt8741648","Netflix","2020","Family","6","8797","Cancelled"
